list_id,list_name
1,Combined Print and E-Book Fiction
2,Combined Print and E-Book Nonfiction
3,Hardcover Fiction
4,Hardcover Nonfiction
5,Trade Fiction Paperback
6,Paperback Nonfiction
7,Advice How-To and Miscellaneous
8,Childrens Middle Grade Hardcover
9,Picture Books
10,Series Books
11,Young Adult Hardcover
12,Audio Fiction
13,Audio Nonfiction
14,Business Books
15,Science
16,Sports
17,Graphic Books and Manga
18,Mass Market Monthly
19,Middle Grade Paperback Monthly
20,Young Adult Paperback Monthly
